doc_id,sentence
102,"The first phase of this project brings together policymakers, legal professionals, technologists, NGOs and community members to discuss the development, deployment, regulation and impact of AI and algorithms on access to justice, human rights, and due process."
102,The LCO’s project considers this technology in both the criminal and civil/administrative law justice systems.
102,"COMPARING EUROPEAN AND CANADIAN AI REGULATION 3• The Rise and Fall of Algorithms in the American Justice System: Lessons for Canada. • LCO Forum on AI and ADM in the Civil and Administrative Justice System. • LCO Forum on AI in Ontario’s Criminal Justice System (with The Citizen Lab, Criminal Lawyers Association and the International Human Rights Program, Faculty of Law, University of Toronto). • AI, Automated Decision-Making: Impact on Access to Justice and Legal Aid. • AI for Lawyers: A Primer on Artificial Intelligence in Ontario’s Justice System with Element AI and Osgoode Hall Law School. • Roundtable on Digital Rights and Digital Society with the Mozilla Foundation."
102,"For example, the Canada ADM Directive does not govern: • Systems that support government non-administrative decisions and/or decisions that are not “about a client. ” • Systems could be deployed in the criminal justice system or criminal proceedings. • National security applications are explicitly exempt from the Directive,26 as are the Offices of the Auditor General, the Chief Electoral Officer, the Information Commissioner of Canada and the Privacy Commissioner of Canada and others.27 • Several agencies, crown corporations, and Agents of P arliament that outside the core federal public service may enter into agreements with the Treasury Board to adopt the Directive’s requirements but are not required to do so.28 • Systems that do not “provide external services.”29 • Systems that were in “production” prior to the time the Directive came into effect.30 THE CANADA ADM DIRECTIVE 8Form of Regulation The Canada ADM Directive does not have the legal status of a statute or a regulation."
102,"CV-sorting software for recruitment procedures); • Essential private and public services (e.g. credit scoring denying citizens opportunity to obtain a loan); • Law enforcement that may interfere with people ’s fundamental rights (e.g. evaluation of the reliability of evidence); • Migration, asylum and border control management (e.g. veriﬁcation of authenticity of travel documents); • Administration of justice and democratic processes (e.g. applying the law to a concrete set of facts)."
102,Policing and Criminal Justice AI and automated decision-making systems are used extensively by governments and police services in criminal justice systems around the world.
102,A DEEPER LOOK: COMPARING AND CONTRASTING THE CANADA ADM DIRECTIVE AND EC PROPOSAL 25The LCO’s The Rise and Fall of Algorithms in the American Justice System: Lessons for Canada report discusses the risks of AI and automated decision-making systems in the criminal justice system at length.
102,"These risks include, but are not limited to: Charter violations, biased data, the “metrics of fairness” , data transparency and opacity, “data scoring” , algorithmic bias, lack of due process, and a lack of access to justice.67 In the United States, there has been an extraordinary backlash to the use of AI and related tools in American criminal justice."
102,"Importantly, American systems were invariably introduced before comprehensive regulation.68 Articles 6 and 7 and Annex III of the European Commission’s proposed AI rules crystalize an emerging international standard of prohibited and high-risk AI systems, including facial recognition systems and systems used by law enforcement and sy st ems used in the administration of justice and democratic processes."
102,Administration of justice and democratic processes: a) AI systems intended to assist a judicial authority in researching and interpreting facts and the law and in applying the law to a concrete set of facts.
102,"A DEEPER LOOK: COMPARING AND CONTRASTING THE CANADA ADM DIRECTIVE AND EC PROPOSAL 26In contrast to the EC proposed rules, there is a major gap in regulation of AI and automated decisionmaking technologies in policing and the criminal justice system: • The Directive’s focus on “administrative decisions” suggests that the Directive may not apply to ADM systems that could be deployed in the criminal justice system or criminal proceedings."
102,"As a result, it appears the federal government could adopt predictive policing algorithms, facial recognition technology, and/or automated risk assessments in bail and sentencing proceedings without having to comply with the Directive.69 • The Canada ADM Directive does not pre-emptively identify or prohibit the use of facial recognition technologies, nor it include detailed provisions identifying AI systems in “law enforcement” and the “administration of justice” as being pre-emptively high-risk, and thus subject to more detailed and expansive regulatory requirements. • Most importantly, the Canada ADM Directive does not govern the use of AI or automated decision-making technologies in policing or the administration of justice that may be deployed by governments and public institutions far beyond the reach of the Canada ADM Directive, including provincial governments and police services."
102,"This means that whole areas of government and private sector AI and ADM development are outside the scope of AI governance and thus largely unregulated, including AI and ADM systems used by provincial governments, municipalities, (most) police services, public agencies and the private sector. • Criminal justice."
102,The Canada ADM Directive does not include AI or automated decisionmaking systems in the federal criminal justice system.
102,"In contrast, the European Commission Proposal include detailed provisions identifying AI systems in “law enforcement” and the “administration of justice” as being pre-emptively high-risk, and thus subject to more detailed and expansive regulatory requirements."
102,"The Court of Justice of the EU (CJEU) may rely on the recitals and may wish to give greater prominence to the Charter, as it has often done in digital matters and in the protection of personal data."
102,"“High-risk” systems include many systems used in law enforcement and the administration of justice, among others."
102,Nor does the Canada ADM Directive regulate law enforcement or criminal justice AI applications.
102,"The LCO can be contacted at: Law Commission of Ontario Osgoode Hall Law School, York University 2032 Ignat Kaneff Building 4700 Keele Street Toronto, Ontario, Canada M3J 1P3 Telephone: (416) 650-8406 Toll-free: (866) 950-8406 Email: LawCommission@lco-cdo.org Web: www.lco-cdo.org Twitter: @LCO_CDO ENDNOTES 381 Law Commission of Ontario, Regulating AI: Critical Issues and Choices, (2021) [Regulating AI], online: https://www.lco-cdo.org/en/our-currentprojects/ai-adm-and-the-justice-system/regula ting-ai-critical-issues-and-choices/ ."
102,"While the GDPR concerns civil and commercial matters, the directive deals with criminal matters and concerns the protection of personal data in the field of police and justice."
104,"In particular, the European Union Agency for Fundamental Rights (FRA) and the Ad Hoc Committee on Artificial Intelligence (CAHAI), a Council of Europe body responsible for examining the possibilities of establishing a legal framework on AI, have drawn up an inventory of fundamental rights likely to be threatened by AI: in particular respect for human dignity, respect for privacy and data protection, equality and non-discrimination, access to justice, access to social rights, etc."
104,"However, in addition to the observations on use cases prohibited by the proposal for an EU regulation on AI, the CNCDH would like to highlight two types of use of particular concern for the respect of human rights: predictive justice and the recognition of emotions in support of a selection process."
104,"The CNCDH also notes that the Ministry of Justice prematurely terminated, in January, its experimentation with such software, by establishing the multiplicity of criteria to be taken into account to characterise the extent of bodily injury and the excessive importance of the means to be mobilised to study and prevent algorithmic biases in order to achieve a satisfactory level of performance36."
104,"33 According to appearance theory, enshrined by the European Court of Human Rights, “ justice must not only be done, it must also be seen to be done”."
104,"See the response of the Minister of Justice published in the OJ Senate of 01/10/2020, page 4462, available online: https://www.senat.fr/questions/base/2020/qSEQ200616942.html ."
104,"Marzolf, “ Le ministère de la Justice renonce à son algorithme DataJust ”, Acteurs publics , 14 January 2022."
104,"These adverse effects are most often mentioned on the basis of a reference to the “sensitive” sectors in which the system is deployed, such as police, justice or health, or an inventory of fundamental rights and freedoms that may be challenged by AI technology43."
104,"These are AI systems that operate in “sensitive” areas: biometric identification, management and operation of critical infrastructure, education and training, employment, access to essential private services, public services and social benefits, police, justice, migration management."
104,"A - 2022 - 6 • EN • Opinion on the impact of artificial intelligence on fundamental rights28 as the preservation of the rule of law and democracy, not forgetting the environment, the National Consultative Commission on Human Rights intends to continue its work on artificial intelligence in the future, especially to examine its impacts, particularly in the areas of health, education, employment and justice."
106,"And it was in this mindset that the CNIL set a collective approach in motion, for several months overseeing a public debate with the help of partners from various sectorial fields (health, justice...)."
106,"Among them, we could mention the “Ligue de l’Enseignement” (associa tion that focused on education concerns), French Insu rance Federation (FFA), French Ministry of Culture (DG-MIC), Open Law (association that reflects on the justice system) as well as trade unions such as CFE-CFC and FO Cadres (for recruitment and HR), etc.An innovative approach to crafting a collective and pluralist ethical thought process Ethical thinking concerns decisive societal choices."
106,"The views of the diverse stakeholders (trade unions, associations, businesses, researchers, citizens, etc.) across a wide range of sectors (from insurance to education, justice and healthcare) thus informed the writing of this report, which provides an overview of the ethical matters raised by algorithms and artificial intel ligence in their current applications and their potential uses in the relatively short term."
106,"THE ETHICAL MATTERS RAISED BY ALGORITHMS AND ARTIFICIAL INTELLIGENCE ALGORITHMS AND ARTIFICIAL INTELLIGENCE TODAY 22 Education Justice Health Security Work, HR Culture Other Generating knowledgeBetter identify learners’ abilitiesReveal the different ways judgments are handed down between regionsTap into the vast amount of scientific publicationsIdentify unsuspected links for solving gendarmerie-led investigations Understand social phenomena in the workplaceCreate cultural showpieces (painting, music)Fine-tune an insurance company customer’s risk profile MatchingAllocate higher education places to candidates (APB)Allocate patients for participation in a clinical trialMatch a list of applicants to a job vacancyMatch “compatible” profiles on dating apps, etc."
106,"The next step of what some refer to as “predictive justice” would involve entrusting systems with the task of making decisions based on a cross-analysis of the data pertaining to a certain case, with case-law data.Delegating tasks to algorithms: contrasting situations What immediately becomes clear is that concern over the potential ethical and social implications of automated systems varies depending on the tasks being delegated to the latter and the very conditions shaping this delegation."
106,"In the report it submitted to the CNIL, the Conseil National des Barreaux, the national institution that represents all practising lawyers in France, highlighted that “care must be taken to ensure that the obsession for effectiveness and predictability behind the use of algorithms does not lead to us designing legal rules and categories no longer on the grounds of our ideal of justice, but so that they are more readily ‘codable’”."
106,"A question of scale: the massive delegation of non-critical decisions Should ethical thinking on algorithms and artificial intel-ligence be limited to crucial decisions, sectors where the impact on humans is undeniable, such as medicine, justice, educational guidance, and even the automotive sector with its implications in terms of safety?"
106,"Practical examples of algorithms being used by the authorities as well as the example of predictive justice give a clearer idea of this ambivalence, between the optimising and diminishing of processes stripped of their spatial dimension."
106,"Similarly, at the symposium on predictive justice orga nised on 19 May 2017 by the Lille Bar, Law Department of Université catholique de Lille and the Douai Court of Appeal, certain participants stressed that “knowledge of judgments given by the other neighbouring jurisdictions or by the other magistrates would contribute towards a certain consistency and prevent that the outcome of a dispute depends on knowing whether it is heard in a city or another”."
106,The same line of thinking could be applied to the idea of a predictive justice.
106,Predictive justice applications are being subjected to particularly close public scrutiny as regards their Management Profile for Alternative Sanction) tool designed to come up with a recidivism risk score for prisoners or defendants on trial.
106,Medicine and justice are other sectors where this question might be asked.
106,"IIt is crucial to guard against excessive trust by raising awar eness of the ethical dimensions of a decision-making process that must not exclude human intervention and by honing critical thinking in some particularly sensitive sec tors, such as medicine, recruitment, justice and perhaps now marketing above all, where the antisemitic categories recently generated by Facebook’s machine learning algorithms are a stark wakeup call to the sharpness of the risks."
106,"The partners in the public debate • Allistene’s research committee on ethics (CERNA) • Bordeaux’s Cognitique Institute (ENSC) • Bordeaux University • Caisse des dépôts et consignations (CDC) • Club des Juristes (thinktank) • Collège des Bernardins • Complex Systems Institute of Paris Ile-de-France (ISC-PIF) • Confédération française de l’encadrement – Confédération générale des cadres (CFE-CGC, trade union) • Communication Publique • Conseil National des Barreaux (national institution that represents all practising lawyers in France/CNB) • Conseil Supérieur de l’Audiovisuel (independent authority to protect audiovisual communication freedom/CSA) • Conservatoire National des Arts et Métiers (leading higher education and research institution dedicated to adult continuing education/CNAM) • Douai court of appeal • ESCP Europe, IoT Chair • Etalab(body that works in France on data sharing in the public sector) • “Familles rurales” association • Federal University of Toulouse • French Association for Artificial intelligence (AFIA) • French Association for Employment Law (AFDT) • French Development Agency(AFD) • French governmental advisory council on bioethics issues (CCNE) • French Insurance Federation (FFA) • French National Center for Scientific Research (CNRS)’s ethics committee (COMETS) • FO-Cadres (trade union) • Fondation Internet Nouvelle Génération (FING) • Fotonower • Génotoul societal (bioscience and ethics platform) • Groupe VYV (MGEN – ISTYA – Harmonie) • Imagine Institute on genetic diseases • INNOvation Ouverte par Ordinateur (INNOOO)• Institut Mines-Télécom (IMT), Research Chair “Values and Politics of Personal Information” • Laboratory for Collective and Artificial Intelligence (LICA) • Law Department of Université Catholique de Lille, Centre of research on relations between risk and law • Law Department of Université Catholique de Lyon • Ligue des Droits de l’Homme (Human Rights League/LDH) • Ligue de l’Enseignement (Education League) • Lille 2 University • Lille Association of Lawyers • Lyon’s administrative court of appeal • Microsoft • Ministry of Culture, via the General Directorate of Media and Cultural Industries (DGMIC) • Ministry of National Education, via the Directorate of Digital Technology for Education (DNE) and its Numéri’lab • National Academy of Technologies of France • National Institute of Higher Studies on Defence (IHEDN) • National Institute of Higher Studies on Security and Justice (INHESJ) • National Institute of Applied Sciences (INSA) • Necker Hospital • OpenLaw (association) • Paris II University • Randstad • Research Centre of the National Gendarmerie School of Officers (CREOGN) • Rhône Département -level Council of the Medical Association • Renaissance Numérique (thinktank) • School of Advanced Studies in the Social Sciences (EHESS) • Sciences Po Lille • Sciences Po Paris • Société informatique de France (association devoted to computer science/SIF) • The Future Society at Harvard Kennedy School, AI Initiative • Universcience • Visions d’Europe (association) The other contributors • Arbre des connaissances (association) • Autorité de contrôle prudentiel et de résolution (French authority responsible for the supervision of the banking and insurance sectors/ACPR) • Autorité des marchés financiers (authority which regulates participants and products in France’s financial markets/AMF) • Montpellier Méditerranée Métropole and its President, Philippe Saurel • City of MontpellierThe 37 citizens who took part in the public consultation organised in Montpellier on 14 October 2017."
106,"LAUNCH EVENT ROUNDTABLE SESSIONS “Algorithms and humans” and “Fairness, transparency and plurality of algorithms” > CNIL SYMPOSIUM “Towards new forms of humanity?” > Universcience CONFERENCE “Algorithms and law” > Lille II University CONFERENCE “The choice in the age of Big Data” > Sciences Po Lille and Visions d’Europe DEBATE “The governance of emerging technosciences” > German American Conference at Harvard University DEBATE “Transatlantic perspectives on: AI in the age of social media; privacy, security and the future of political campaigning” > The Future Society at Harvard Kennedy School ROUNDTABLE SESSIONS “Big Data, human resources: algorithms on the agenda” > FO-Cadres CONFERENCE “Fairness of algorithmic decision-making” > Toulouse III – Paul Sabatier University DEBATE “Will digital technology spell the end of the rule of law?” > Collège des Bernadins SYMPOSIUM “Predictive justice” > Douai Court of Appeal, Lille Association of Lawyers and Law Department of Université Catholique de Lille WORKSHOPS “Fairness of algorithmic decision-making and processing” > LabEx International Centre for Mathematics and Computer Science in Toulouse23/01/2017 23/03/2017 25/03/2017 31/03/2017 06/04/201708/04/201718/04/2017 18/04/2017 04/05/201716/05/201719/05/201702/06/2017 DEBATE “Algorithms in healthcare: what ethics?” > Groupe VYV (MGEN – ISTYA – Harmonie) ROUNDTABLE SESSION “Artificial intelligence: ethics, at the intersection of HR and Big Data” > Confédération française de l’encadrement – Confédération générale des cadres (CFE-CGC) DEBATE “Algorithms, employment and ethics” > French Association for Employment Law (AFDT) DAY “Ethical algorithms, a moral requirement and competitive advantage” > Allistene’s CERNA and Société Informatique de France (SIF) SYMPOSIUM “Human, non-human in the age of artificial intelligence” > Paris II University SYMPOSIUM “Artificial intelligence: autonomy, delegation and accountability” > Bordeaux’s Cognitique Institute (ENSC) WORKSHOP “Ethics of algorithms: implications for healthcare” > Genotoul (bioscience and ethics platform) CROWDSOURCING WORKSHOP “Artificial intelligence and law” > OpenLaw SYMPOSIUM “ The many dimensions of data ” > Institut Mines-Télécom, Values and Politics of Personal Information Research Chair SYMPOSIUM “Security and justice, the challenge of the algorithm” > National Institute of Higher Studies of Security and Justice (INHESJ) MOCK TRIAL AND ROUNDTABLE SESSION “ Ethique, algorithmes and justice ” > Law Department of Université Catholique de Lyon and Lyon’s Administrative Court of Appeal STUDY DAY “Admission Post-bac, textbook case of public algorithms” > Fondation Internet Nouvelle Génération (FING) and Etalab DAY “Algorithms and digital sovereignty” > Allistene’s CERNA DAY “Ethics and artificial intelligence” > French National Center for Scientific Research (CNRS)’s ethics committee (COMETS) and French Association for AI (AFIA) DEBATES on algorithms in education. > Ligue de l’Enseignement (Education League) DEBATE MORNING “Work in the algorithm era: what ethics for employment?” > Renaissance Numérique and Randstad SYMPOSIUM ““Convergences of law and digital technology” > Bordeaux University DAY “Algorithms and Politics."
110,"A titre d’exemples non hiérarchisés, des SIA sont d’ores et déjà opérationnels dans les domaines les plus divers : - La gestion des territoires : circulation automobile, entretien de la voirie, gestion des déchets, de l’eau, de l’éclairage public, du nettoyage urbain, transport public par véhicule dit « autonome »… ; - La défense et la sécurité : détection de forces militaires sur des images aériennes et satellite, prévention des attaques informatiques, détection de la désinformation d’origine étrangère avec Viginum, lecture automatisée de plaque d’immatriculation, anticipation des catastrophes naturelles par les services de secours, reconnaissance faciale de suspects ou de victimes par la police judiciaire… ; - Les activités de contrôle et de lutte contre la fraude : ciblage des contrôles fiscaux et douaniers, contrôle aux frontières, détection de constructions non autorisées sur des images satellite… ; - La justice : pseudonymisation des jugements, recherche documentaire, évaluation des préjudices en cas de dommage corporel… ; - La politique de l’emploi : appariement entre offre et demande d’emplois, personnalisation de l’accompagnement… ; Page 7 - L’éducation : prévention du décrochage scolaire, affectation en première année de l’enseignement supérieur… ; - La protection sociale : liquidation des prestations, identification du non-recours aux droits… ; - La santé : aide au diagnostic et à la prescription médicale, alertes sanitaires, robotique médicale… En deuxième lieu, à l’instar de ses voisins européens, la France ne vit pas une révolution de l’IA publique , mais connaît un déploiement très progressif des SIA dans les services publics, très inégal selon les administrations et souvent expérimental."
110,"Page 18 L’utilisation de ces systèmes pour une politique publique donnée (sécurité, justice, aménagement du territoire, santé, éducation…) mériterait à elle seule la rédaction de plusieurs études."
110,"A titre d’exemple (fictif), pour construire un système d’IA d’aide à l’examen de la recevabilité d’un recours contentieux, on peut soit transcrire en instructions informatiques les dispositions pertinentes du code de justice administrative et la jurisprudence pour que le programme les applique à un dossier donné (approche symbolique), soit construire un modèle qui va déduire ces règles à partir de l’exploitation d’un très grand nombre de jugements – il constatera, « à l’expérience », que ce délai est de deux mois la plupart du temps, sauf dans certaines matières ; qu’il n’est pas déclenché en l’absence de mention des voies et délais de recours dans la décision attaquée, etc."
110,"A titre d’exemple, un outil de traitement du langage naturel entraîné sur des articles de l’encyclopédie en ligne Wikipédia devra être ré-entraîné sur des décisions de justice si on souhaite l’utiliser pour rechercher automatiquement une décision dans une base de jurisprudence à partir d’une requête formulée en langage courant)."
110,"Page 35 Plusieurs méthodes d’apprentissage peuvent être distinguées. a/ On parle d’ apprentissage supervisé lorsque le modèle est alimenté par des données dites labellisées, étiquetées, annotées ou qualifiées, c’est-à-dire auxquelles on a assigné une valeur ou qu’on a rangé dans une catégorie, de manière à permettre à la machine de différencier ce qui est une bonne et une mauvaise réponse : telle photo représente une chaise, tel caractère (présenté à l’endroit, à l’envers, en police Times New Roman ou écrit d’une main ferme ou tremblante…) est le chiffre 1, tel terme est un nom propre qui doit être pseudonymisé dans une décision de justice… Les paramètres « manuels » (non entraînables46) du modèle sont ajustés de telle sorte que la prévision qu’effectue la machine (inférence) à partir de données d’entrée (n’importe quelle photo, n’importe quel caractère ou n’importe quelle décision de justice) soit conforme ou la plus proche possible de la valeur attendue (l’outil devra indiquer qu’une chaise se trouve sur la photo si tel est bien le cas et donner le résultat inverse dans le cas contraire ; il devra reconnaître correctement le chiffre 1 sur un papier, une enveloppe ou dans une image ; il devra proposer ou procéder à la pseudonymisation d’un nom propre dans une décision s’il s’agit bien d’un nom propre)."
110,"Il permet l’ analyse sémantique de textes et l’identification de leur contenu (ex. les entités nommées à anonymiser dans une décision de justice ; le traitement du courrier pour l’orienter automatiquement vers le service chargé d’y répondre), le sens (repérage des fausses informations par exemple), de les résumer ou de les reformuler, et même d’en identifier la tonalité émotionnelle."
110,"Le droit conventionnel européen Le Conseil de l’Europe s’est très tôt préoccupé des incidences du développement des systèmes d’IA sur les droits fondamentaux, l’État de droit, la démocratie et la justice (avec l’adoption en 2018 de la charte éthique européenne sur l’utilisation de l’IA dans les systèmes judiciaires, dans le cadre des travaux de la Commission européenne pour l’efficacité de la justice - CEPEJ)."
110,"Dans le champ de la justice, où les SIA publics sont encore rares, les outils de pseudonymisation des décisions juridictionnelles , développés à partir d’algorithmes de traitement du langage naturel, visent à automatiser la suppression des éléments permettant l’identification des personnes mentionnées dans les décisions et, ainsi, à faciliter leur mise à disposition du public, prévue par l’ article 24 de la loi pour une République numérique en 2016, puis précisé par l’ article 33 de la loi du 23 mars 2019 de programmation 2018-2022 et de réforme de la justice89."
110,"A l’heure actuelle, aucun mécanisme ne garantit de façon systématique et complète l’égalité devant la loi ou devant la justice à l’échelle nationale."
110,"Ensuite, les ressources humaines libérées des tâches automatisées peuvent être redéployées, non seulement pour assurer l’entraînement (la complémentarité entre le travail humain d’annotation des données et le SIA est manifeste, par exemple, dans le déploiement de l’outil de pseudonymisation des décisions de justice de la Cour de cassation), la supervision et la maintenance des systèmes, mais aussi et surtout pour assurer des prestations qui ne le sont pas actuellement, ou qui le sont mal, faute de moyens humains suffisants."
110,"Les normes constitutionnelles touchant à la qualité et à la performance de l’action publique sont, pour la plupart, des objectifs de valeur constitutionnelle insusceptibles d’être directement invoqués par le justiciable, quoiqu’ils s’imposent au législateur (objectif de bon usage des deniers publics, objectif de bonne administration de la justice, lutte contre la fraude…)."
110,"Or, ces systèmes sont des outils au service des politiques publiques, des auxiliaires d’administration et de justice, et ne sont que cela."
110,"Page 89 DataJust Le décret n° 2020-356 du 27 mars 2020 a autorisé le ministère de la justice, à titre expérimental, à développer un outil permettant d’extraire et d’exploiter de façon automatisée les données relatives aux montants des demandes indemnitaires en réparation des préjudices résultant de dommages corporels, par poste de préjudice, des offres indemnitaires des personnes mises en cause, des évaluations effectuées dans le cadre de procédures de règlement amiable et des condamnations prononcées à ce titre, qui figurent dans les décisions rendues par les juridictions d’appel, de l’ordre administratif et de l’ordre judiciaire."
110,"A terme, le ministère de la justice envisageait de mettre en ligne un « référentiel indicatif d’indemnisation » à destination du grand public."
110,"Une telle possibilité est en outre exclue pour les décisions entrant dans le champ de la directive « police-justice », les décisions de justice impliquant une appréciation sur le comportement d’une personne, ou encore les services de conciliation, de médiation judiciaire ou d’arbitrage."
110,"Ex. : dans 98% des cas où la machine a proposé de pseudonymiser un mot dans une décision de justice, il s’agissait bien d’un mot à pseudonymiser (nom propre…)."
110,"C’est précisément en raison de ce risque que la Cour de justice de l’Union européenne a, à deux reprises, annulé les instruments qui entendaient encadrer les échanges de données à caractère personnel traitées avec les Etats-Unis174."
110,"Contrairement à d’autres actes de droit dérivé connexes, comme la directive dite e-privacy178 ou le RGPD et la directive dite « police-justice », la proposition de la Commission n’exclut pas de son champ d’application l’ensemble des matières classiquement exclues du champ du droit de l’Union , à savoir la sécurité nationale (y compris le renseignement), la défense et la politique étrangère."
110,"En effet, les domaines énumérés par l’annexe III du projet de règlement recouvrent l’essentiel des activités régaliennes (police, justice, immigration), l’accès et le droit aux services publics et aux prestations sociales, l’enseignement et la formation professionnelle, la gestion et l’exploitation de réseaux publics (eau, électricité…) ou encore le recrutement, l’évaluation, la promotion et la sortie de service des agents."
110,"En tant que simples utilisatrices de systèmes fournis par des tiers, leurs obligations seraient moindres et le texte leur offrirait au contraire des garanties, au prix toutefois d’un renchérissement des prestations dès lors que les fournisseurs répercuteront sur les clients publics les coûts liés à la conformité des systèmes ; - d’autre part, la simple inclusion du système dans le champ d’application du règlement, fût-ce au titre de la soumission à un code de conduite, emporte l’inclusion dans le champ du droit de l’Union, ce qui entraîne l’application du droit primaire, notamment de la Charte des droits fondamentaux de l’Union européenne , dont on sait à quel point, telle que l’interprète la Cour de justice de l’Union européenne, elle peut être exigeante à l’égard des autorités publiques, en particulier pour celles qui sont en charge de missions touchant à la sécurité."
110,"S’il est vrai que les principes de fonctionnement des SIA ne diffèrent pas selon la finalité poursuivie, de sorte que les obligations prévues par la proposition peuvent, dans leur principe, s’appliquer indifféremment aux SIA répressifs comme à la généralité des systèmes, on ne peut nier la spécificité des finalités de puissance publique et, singulièrement, celles qui touchent aux activités de police et de justice, qui pourraient appeler un encadrement européen plus souple. d/ En quatrième et dernier lieu, le droit de l’Union ne préjuge pas du niveau de norme – loi ou règlement – nécessaire pour asseoir le recours à telle ou telle catégorie de SIA publics."
110,On ne peut se satisfaire de la relative précipitation et du retard dans lesquels le droit national a été adapté au RGPD et la directive « police-justice » transposée en droit interne.
110,201 A l’instar de ce qui existe pour la prohibition du profilage des professionnels de justice ( art.
110,10 du code de justice administrative et art.
110,"Ainsi, l’outil d’anonymisation des décisions de justice développé par la Cour de cassation mobilise une vingtaine d’agents annotateurs, encadrés par une directrice des services de greffe."
110,Certains SIA publics relèveront de cette exception (ex : identification des variables explicatives 230 Le paragraphe 2 de l’article 4 et l’article 9 de la directive « police-justice » fixent des conditions distinctes pour le traitement ultérieur.
110,"Page 178 Il y a place pour la construction, par les pouvoirs publics, en lien avec la CNIL, d’une grille d’analyse de la compatibilité permettant de situer le projet entre deux extrêmes : - Un SIA développé dans le même champ d’activité que celui pour lequel les données à caractère personnel ont été collectées (ex. : système d’aide à l’évaluation du préjudice corporel sur la base des données personnelles contenues dans les décisions de justice), répondant à des motifs d’intérêt général éminents, dont la destination est susceptible de bénéficier aux personnes concernées et, en tous les cas, qui n’est pas susceptible de prendre, de recommander ou de participer à des décisions qui leur seraient défavorables (ex. : améliorer le diagnostic d’une maladie), utilisant des données fournies spontanément à l’administration et non de façon contrainte, ne relevant pas des « données sensibles » et préalablement pseudonymisées dans les règles de l’art, devrait bénéficier d’une présomption de compatibilité ; - à l’inverse, un SIA développé dans un champ totalement étranger à celui qui avait justifié la collecte, pour des motifs d’intérêt général de second ordre, recourant à des données sensibles non pseudonymisées obtenues de manière coercitive ou contrainte, et susceptibles de prendre des décisions défavorables à l’égard des personnes concernées, serait présumé poursuivre une finalité incompatible."
110,"Cette proposition prévoit la possibilité, en-dehors du champ police-justice, d’une mise à disposition contrainte des données du secteur privé au profit des administrations publiques en cas de « besoin exceptionnel » , c’est-à-dire soit pour répondre à ou prévenir une situation d’urgence publique, soit lorsque l’absence de données disponibles fait obstacle à ce qu’une administration s’acquitte d’une tâche d’intérêt général spécifique qui lui est confiée par la loi."
110,"Les contentieux éventuels sur ces actes de droit souple, portés directement devant le Conseil d’Etat, permettent d’en obtenir rapidement – en un an environ, sous réserve d’éventuelles questions préjudicielles à la Cour de justice de l’Union européenne – la confirmation ou l’infirmation."
110,"Or, un SIA pouvant décider du sort de questions cruciales peut parfaitement ne traiter aucune donnée personnelle, et ainsi se prêter assez mal, pour le cœur de son contrôle, à une approche individuelle : la justice ou l’équité du système sont des questions globales, reposant autant sur la nature des données traitées que sur les choix faits pour orienter le fonctionnement du système, ou les variables qui vont déterminer son évolution."
